,state,county,expense.rent,pop
33677,MI,Alpena County,5681.71427815536,29598
33737,MI,Barry County,7145.71427815536,59173
33752,MI,Bay County,5789.71427815536,107771
33782,MI,Berrien County,5489.71427815536,156813
33797,MI,Branch County,5513.71427815536,45248
33812,MI,Calhoun County,6005.71427815536,136146
33827,MI,Cass County,5729.71427815536,52293
33842,MI,Charlevoix County,5885.71427815536,25949
33857,MI,Cheboygan County,5333.71427815536,26152
33872,MI,Chippewa County,5309.71427815536,38520
33887,MI,Clare County,5153.71427815536,30926
33902,MI,Clinton County,7553.71427815536,75382
33932,MI,Delta County,5597.71427815536,37069
33947,MI,Dickinson County,5705.71427815536,26168
33962,MI,Eaton County,7553.71427815536,107759
33977,MI,Emmet County,6305.71427815536,32694
33992,MI,Genesee County,5633.71427815536,425790
34007,MI,Gladwin County,5633.71427815536,25692
34037,MI,Grand Traverse County,7937.71427815536,86986
34052,MI,Gratiot County,5141.71427815536,42476
34067,MI,Hillsdale County,5285.71427815536,46688
34082,MI,Houghton County,5225.71427815536,36628
34097,MI,Huron County,5513.71427815536,33118
34112,MI,Ingham County,7553.71427815536,280895
34127,MI,Ionia County,5765.71427815536,63905
34142,MI,Iosco County,6125.71427815536,25887
34172,MI,Isabella County,5921.71427815536,70311
34187,MI,Jackson County,6713.71427815536,160248
34202,MI,Kalamazoo County,6521.71427815536,250331
34232,MI,Kent County,7625.71427815536,602622
34277,MI,Lapeer County,7829.71427815536,88319
34307,MI,Lenawee County,5909.71427815536,99892
34322,MI,Livingston County,7937.71427815536,180967
34367,MI,Macomb County,7829.71427815536,840978
34397,MI,Marquette County,5549.71427815536,67077
34412,MI,Mason County,5429.71427815536,28705
34427,MI,Mecosta County,5897.71427815536,42798
34457,MI,Midland County,6245.71427815536,83629
34487,MI,Monroe County,6761.71427815536,152021
34502,MI,Montcalm County,5945.71427815536,63342
34532,MI,Muskegon County,6017.71427815536,172188
34547,MI,Newaygo County,5297.71427815536,48460
34562,MI,Oakland County,7829.71427815536,1202362
34577,MI,Oceana County,5141.71427815536,26570
34667,MI,Ottawa County,7949.71427815536,263801
34712,MI,Saginaw County,6329.71427815536,200169
34757,MI,Sanilac County,5141.71427815536,43114
34787,MI,Shiawassee County,5297.71427815536,70648
34727,MI,St. Clair County,7829.71427815536,163040
34742,MI,St. Joseph County,5141.71427815536,61295
34802,MI,Tuscola County,5573.71427815536,55729
34817,MI,Van Buren County,6521.71427815536,76258
34832,MI,Washtenaw County,9941.71427815536,344791
34847,MI,Wayne County,7829.71427815536,1820584
34862,MI,Wexford County,5621.71427815536,32735
34892,MN,Anoka County,9773.71427815536,330844
34907,MN,Becker County,5753.71427815536,32504
34922,MN,Beltrami County,5753.71427815536,44442
34937,MN,Benton County,7169.71427815536,38451
34967,MN,Blue Earth County,7373.71427815536,64013
34982,MN,Brown County,5489.71427815536,25893
34997,MN,Carlton County,6833.71427815536,35386
35012,MN,Carver County,9773.71427815536,91042
35027,MN,Cass County,5621.71427815536,28567
35057,MN,Chisago County,9773.71427815536,53887
35072,MN,Clay County,7085.71427815536,58999
35132,MN,Crow Wing County,6137.71427815536,62500
35147,MN,Dakota County,9773.71427815536,398552
35177,MN,Douglas County,5981.71427815536,36009
35222,MN,Freeborn County,5141.71427815536,31255
35237,MN,Goodhue County,5933.71427815536,46183
35267,MN,Hennepin County,9773.71427815536,1152425
35312,MN,Isanti County,9773.71427815536,37816
35327,MN,Itasca County,5837.71427815536,45058
35372,MN,Kandiyohi County,5693.71427815536,42239
35462,MN,Le Sueur County,6005.71427815536,27703
35492,MN,Lyon County,5141.71427815536,25857
35507,MN,McLeod County,5873.71427815536,36651
35582,MN,Mille Lacs County,6761.71427815536,26097
35597,MN,Morrison County,5141.71427815536,33198
35612,MN,Mower County,5657.71427815536,39163
35642,MN,Nicollet County,7373.71427815536,32727
35687,MN,Olmsted County,7601.71427815536,144248
35702,MN,Otter Tail County,5189.71427815536,57303
35732,MN,Pine County,5909.71427815536,29750
35762,MN,Polk County,6845.71427815536,31600
35792,MN,Ramsey County,9773.71427815536,508640
35852,MN,Rice County,6881.71427815536,64142
35912,MN,Scott County,9773.71427815536,129928
35927,MN,Sherburne County,9773.71427815536,88499
35897,MN,St. Louis County,6833.71427815536,200226
35957,MN,Stearns County,7169.71427815536,150642
35972,MN,Steele County,6029.71427815536,36576
36092,MN,Washington County,9773.71427815536,238136
36137,MN,Winona County,5729.71427815536,51461
36152,MN,Wright County,9773.71427815536,124700
37412,MO,Adair County,4721.71427815536,25607
37457,MO,Audrain County,4997.71427815536,25529
37472,MO,Barry County,4733.71427815536,35597
37547,MO,Boone County,6701.71427815536,162642
37562,MO,Buchanan County,5885.71427815536,89201
37577,MO,Butler County,4925.71427815536,42794
37607,MO,Callaway County,5045.71427815536,44332
37622,MO,Camden County,5141.71427815536,44002
37637,MO,Cape Girardeau County,5573.71427815536,75674
37682,MO,Cass County,8225.71427815536,99478
37727,MO,Christian County,5525.71427815536,77422
37757,MO,Clay County,8225.71427815536,221939
37787,MO,Cole County,4817.71427815536,75990
37922,MO,Dunklin County,4745.71427815536,31953
37937,MO,Franklin County,7349.71427815536,101492
37982,MO,Greene County,5525.71427815536,275174
38087,MO,Howell County,4649.71427815536,40400
38117,MO,Jackson County,8225.71427815536,674158
38132,MO,Jasper County,5597.71427815536,117404
38147,MO,Jefferson County,7349.71427815536,218733
38162,MO,Johnson County,5321.71427815536,52595
38192,MO,Laclede County,4649.71427815536,35571
38207,MO,Lafayette County,8225.71427815536,33381
38222,MO,Lawrence County,4829.71427815536,38634
38252,MO,Lincoln County,7349.71427815536,52566
38357,MO,Marion County,5057.71427815536,28781
38492,MO,Newton County,5597.71427815536,58114
38597,MO,Pettis County,5777.71427815536,42201
38612,MO,Phelps County,5417.71427815536,45156
38642,MO,Platte County,8225.71427815536,89322
38657,MO,Polk County,4721.71427815536,31137
38672,MO,Pulaski County,6881.71427815536,52274
38717,MO,Randolph County,5381.71427815536,25414
38897,MO,Scott County,4997.71427815536,39191
38777,MO,St. Charles County,7349.71427815536,360485
38822,MO,St. Francois County,4649.71427815536,65359
38837,MO,St. Louis County,7349.71427815536,998954
39122,MO,St. Louis city,7349.71427815536,319294
38942,MO,Stoddard County,4649.71427815536,29968
38957,MO,Stone County,5633.71427815536,32202
38987,MO,Taney County,5861.71427815536,51675
39002,MO,Texas County,4649.71427815536,26008
39032,MO,Warren County,7349.71427815536,32513
39047,MO,Washington County,4649.71427815536,25195
39077,MO,Webster County,5525.71427815536,36202
36182,MS,Adams County,5309.71427815536,32297
36197,MS,Alcorn County,4937.71427815536,37057
36257,MS,Bolivar County,5033.71427815536,34145
36377,MS,Coahoma County,4697.71427815536,26151
36392,MS,Copiah County,7541.71427815536,29449
36422,MS,DeSoto County,7697.71427815536,161252
36437,MS,Forrest County,6293.71427815536,74934
36512,MS,Hancock County,6965.71427815536,43929
36527,MS,Harrison County,6965.71427815536,187105
36542,MS,Hinds County,7541.71427815536,245285
36617,MS,Jackson County,6653.71427815536,139668
36677,MS,Jones County,5597.71427815536,67761
36707,MS,Lafayette County,8033.71427815536,47351
36722,MS,Lamar County,6293.71427815536,55658
36737,MS,Lauderdale County,5729.71427815536,80261
36782,MS,Lee County,5369.71427815536,82910
36797,MS,Leflore County,4697.71427815536,32317
36812,MS,Lincoln County,4853.71427815536,34869
36827,MS,Lowndes County,5273.71427815536,59779
36842,MS,Madison County,7541.71427815536,95203
36857,MS,Marion County,5621.71427815536,27088
36872,MS,Marshall County,5561.71427815536,37144
36887,MS,Monroe County,5033.71427815536,36989
36917,MS,Neshoba County,4697.71427815536,29676
36962,MS,Oktibbeha County,6977.71427815536,47671
36977,MS,Panola County,5009.71427815536,34707
36992,MS,Pearl River County,5765.71427815536,55834
37022,MS,Pike County,5129.71427815536,40404
37037,MS,Pontotoc County,4865.71427815536,29957
37052,MS,Prentiss County,5249.71427815536,25276
37082,MS,Rankin County,7541.71427815536,141617
37097,MS,Scott County,5021.71427815536,28264
37127,MS,Simpson County,6017.71427815536,27503
37172,MS,Sunflower County,5621.71427815536,29450
37202,MS,Tate County,6197.71427815536,28886
37262,MS,Union County,5621.71427815536,27134
37292,MS,Warren County,5717.71427815536,48773
37307,MS,Washington County,5345.71427815536,51137
37397,MS,Yazoo County,5069.71427815536,28065
39227,MT,Cascade County,5837.71427815536,81327
39347,MT,Flathead County,6761.71427815536,90928
39362,MT,Gallatin County,6989.71427815536,89513
39482,MT,Lake County,6101.71427815536,28746
39497,MT,Lewis and Clark County,7229.71427815536,63395
39602,MT,Missoula County,7577.71427815536,109299
39737,MT,Ravalli County,5765.71427815536,40212
39827,MT,Silver Bow County,6017.71427815536,34200
39962,MT,Yellowstone County,6953.71427815536,147972
47252,NC,Alamance County,6437.71427815536,151131
47267,NC,Alexander County,5381.71427815536,37198
47297,NC,Anson County,5909.71427815536,26948
47312,NC,Ashe County,4949.71427815536,27281
47342,NC,Beaufort County,5633.71427815536,47759
47372,NC,Bladen County,4949.71427815536,35190
47387,NC,Brunswick County,7625.71427815536,107431
47402,NC,Buncombe County,8381.71427815536,238318
47417,NC,Burke County,5381.71427815536,90912
47432,NC,Cabarrus County,9557.71427815536,178011
47447,NC,Caldwell County,5381.71427815536,83029
47477,NC,Carteret County,6809.71427815536,66469
47507,NC,Catawba County,5381.71427815536,154358
47522,NC,Chatham County,9617.71427815536,63505
47537,NC,Cherokee County,5609.71427815536,27444
47582,NC,Cleveland County,5945.71427815536,98078
47597,NC,Columbus County,5261.71427815536,58098
47612,NC,Craven County,6905.71427815536,103505
47627,NC,Cumberland County,7781.71427815536,319431
47657,NC,Dare County,8045.71427815536,33920
47672,NC,Davidson County,5777.71427815536,162878
47687,NC,Davie County,5789.71427815536,41240
47702,NC,Duplin County,5261.71427815536,58505
47717,NC,Durham County,9617.71427815536,267587
47732,NC,Edgecombe County,5453.71427815536,56552
47747,NC,Forsyth County,5789.71427815536,350670
47762,NC,Franklin County,10181.7142781554,60619
47777,NC,Gaston County,9557.71427815536,206086
47822,NC,Granville County,6209.71427815536,59916
47852,NC,Guilford County,6725.71427815536,488406
47867,NC,Halifax County,5921.71427815536,54691
47882,NC,Harnett County,5933.71427815536,114678
47897,NC,Haywood County,7613.71427815536,59036
47912,NC,Henderson County,8381.71427815536,106740
47942,NC,Hoke County,6329.71427815536,46952
47972,NC,Iredell County,7949.71427815536,159437
47987,NC,Jackson County,5861.71427815536,40271
48002,NC,Johnston County,10181.7142781554,168878
48032,NC,Lee County,6521.71427815536,57866
48047,NC,Lenoir County,5285.71427815536,59495
48062,NC,Lincoln County,6761.71427815536,78265
48092,NC,Macon County,5957.71427815536,33922
48077,NC,McDowell County,5777.71427815536,44996
48137,NC,Mecklenburg County,9557.71427815536,919628
48167,NC,Montgomery County,5453.71427815536,27798
48182,NC,Moore County,6941.71427815536,88247
48197,NC,Nash County,5453.71427815536,95840
48212,NC,New Hanover County,8273.71427815536,202667
48242,NC,Onslow County,6797.71427815536,177772
48257,NC,Orange County,9617.71427815536,133801
48287,NC,Pasquotank County,5981.71427815536,40661
48302,NC,Pender County,7121.71427815536,52217
48332,NC,Person County,5201.71427815536,39464
48347,NC,Pitt County,6125.71427815536,168148
48377,NC,Randolph County,6725.71427815536,141752
48392,NC,Richmond County,5705.71427815536,46639
48407,NC,Robeson County,4973.71427815536,134168
48422,NC,Rockingham County,4949.71427815536,93643
48437,NC,Rowan County,6869.71427815536,138428
48452,NC,Rutherford County,4949.71427815536,67810
48467,NC,Sampson County,5057.71427815536,63431
48482,NC,Scotland County,5105.71427815536,36157
48497,NC,Stanly County,5213.71427815536,60585
48512,NC,Stokes County,5789.71427815536,47401
48527,NC,Surry County,4997.71427815536,73673
48557,NC,Transylvania County,5921.71427815536,33090
48587,NC,Union County,9557.71427815536,201292
48602,NC,Vance County,5837.71427815536,45422
48617,NC,Wake County,10181.7142781554,900993
48662,NC,Watauga County,7265.71427815536,51079
48677,NC,Wayne County,5621.71427815536,122623
48692,NC,Wilkes County,4949.71427815536,69340
48707,NC,Wilson County,6449.71427815536,81234
48722,NC,Yadkin County,5789.71427815536,38406
48857,ND,Burleigh County,6749.71427815536,81308
48872,ND,Cass County,7085.71427815536,149778
49007,ND,Grand Forks County,6845.71427815536,66861
49187,ND,Morton County,6749.71427815536,27471
49502,ND,Ward County,8753.71427815536,61675
39977,NE,Adams County,6221.71427815536,31364
40112,NE,Buffalo County,6245.71427815536,46102
40157,NE,Cass County,7721.71427815536,25241
40367,NE,Dodge County,6533.71427815536,36691
40382,NE,Douglas County,7721.71427815536,517110
40562,NE,Hall County,5717.71427815536,58607
40787,NE,Lancaster County,6233.71427815536,285407
40802,NE,Lincoln County,5693.71427815536,36288
40862,NE,Madison County,5777.71427815536,34876
41027,NE,Platte County,6173.71427815536,32237
41117,NE,Sarpy County,7721.71427815536,158840
41147,NE,Scotts Bluff County,5897.71427815536,36970
0,NH,Belknap County,8489.71427815536,60088
0,NH,Carroll County,8813.71427815536,47698
0,NH,Cheshire County,8885.71427815536,77117
0,NH,Coos County,7121.71427815536,32961
0,NH,Grafton County,8525.71427815536,89118
0,NH,Hillsborough County,11825.7142781554,400721
0,NH,Merrimack County,9293.71427815536,146445
0,NH,Rockingham County,11477.7142781554,295223
0,NH,Strafford County,9785.71427815536,123143
0,NH,Sullivan County,8069.71427815536,43742
45512,NJ,Atlantic County,10829.7142781554,274549
45527,NJ,Bergen County,15893.7142781554,905116
45542,NJ,Burlington County,10697.7142781554,448734
45557,NJ,Camden County,10697.7142781554,513657
45572,NJ,Cape May County,10769.7142781554,97265
45587,NJ,Cumberland County,10025.7142781554,156898
45602,NJ,Essex County,13049.7142781554,783969
45617,NJ,Gloucester County,10697.7142781554,288288
45632,NJ,Hudson County,14657.7142781554,634266
45647,NJ,Hunterdon County,15113.7142781554,128349
45662,NJ,Mercer County,11777.7142781554,366513
45677,NJ,Middlesex County,15113.7142781554,809858
45692,NJ,Monmouth County,12437.7142781554,630380
45707,NJ,Morris County,13049.7142781554,492276
45722,NJ,Ocean County,12437.7142781554,576567
45737,NJ,Passaic County,15893.7142781554,501226
45752,NJ,Salem County,10697.7142781554,66083
45767,NJ,Somerset County,15113.7142781554,323444
45782,NJ,Sussex County,13049.7142781554,149265
45797,NJ,Union County,13049.7142781554,536499
45812,NJ,Warren County,11621.7142781554,108692
45827,NM,Bernalillo County,7325.71427815536,662564
45857,NM,Chaves County,6293.71427815536,65645
45872,NM,Cibola County,6017.71427815536,27213
45902,NM,Curry County,7145.71427815536,48376
45932,NM,Dona Ana County,5681.71427815536,209233
45947,NM,Eddy County,7229.71427815536,53829
45962,NM,Grant County,6353.71427815536,29514
46022,NM,Lea County,7745.71427815536,64727
46067,NM,Luna County,5141.71427815536,25095
46082,NM,McKinley County,6701.71427815536,71492
46112,NM,Otero County,6089.71427815536,63797
46142,NM,Rio Arriba County,6125.71427815536,40246
46187,NM,San Juan County,6881.71427815536,130044
46202,NM,San Miguel County,6713.71427815536,29393
46172,NM,Sandoval County,7325.71427815536,131561
46217,NM,Santa Fe County,9929.71427815536,144170
46262,NM,Taos County,7685.71427815536,32937
46307,NM,Valencia County,7325.71427815536,76569
41612,NV,Carson City,6941.71427815536,55274
41387,NV,Clark County,8285.71427815536,1951269
41402,NV,Douglas County,8417.71427815536,46997
41417,NV,Elko County,7121.71427815536,48818
41507,NV,Lyon County,6353.71427815536,51980
41537,NV,Nye County,6629.71427815536,43946
41582,NV,Washoe County,8525.71427815536,421407
46322,NY,Albany County,9641.71427815536,304204
46337,NY,Allegany County,5705.71427815536,48946
46352,NY,Bronx County,17981.7142781554,1385108
46367,NY,Broome County,6473.71427815536,200600
46382,NY,Cattaraugus County,5621.71427815536,80317
46397,NY,Cayuga County,6245.71427815536,80026
46412,NY,Chautauqua County,5597.71427815536,134905
46427,NY,Chemung County,6749.71427815536,88830
46442,NY,Chenango County,5969.71427815536,50477
46457,NY,Clinton County,6701.71427815536,82128
46472,NY,Columbia County,7769.71427815536,63096
46487,NY,Cortland County,6761.71427815536,49336
46502,NY,Delaware County,5933.71427815536,47980
46517,NY,Dutchess County,11669.7142781554,297488
46532,NY,Erie County,7133.71427815536,919040
46547,NY,Essex County,6989.71427815536,39370
46562,NY,Franklin County,6233.71427815536,51599
46577,NY,Fulton County,6425.71427815536,55531
46592,NY,Genesee County,6401.71427815536,60079
46607,NY,Greene County,8129.71427815536,49221
46637,NY,Herkimer County,6089.71427815536,64519
46652,NY,Jefferson County,9353.71427815536,116229
46667,NY,Kings County,17981.7142781554,2504700
46682,NY,Lewis County,6377.71427815536,27087
46697,NY,Livingston County,7913.71427815536,65393
46712,NY,Madison County,7049.71427815536,73442
46727,NY,Monroe County,7913.71427815536,744344
46742,NY,Montgomery County,6617.71427815536,50219
46757,NY,Nassau County,17369.7142781554,1339532
46772,NY,New York County,17981.7142781554,1585873
46787,NY,Niagara County,7133.71427815536,216469
46802,NY,Oneida County,6089.71427815536,234878
46817,NY,Onondaga County,7049.71427815536,467026
46832,NY,Ontario County,7913.71427815536,107931
46847,NY,Orange County,11669.7142781554,372813
46862,NY,Orleans County,7913.71427815536,42883
46877,NY,Oswego County,7049.71427815536,122109
46892,NY,Otsego County,6677.71427815536,62259
46907,NY,Putnam County,17981.7142781554,99710
46922,NY,Queens County,17981.7142781554,2230722
46937,NY,Rensselaer County,9641.71427815536,159429
46952,NY,Richmond County,17981.7142781554,468730
46967,NY,Rockland County,17981.7142781554,311687
46997,NY,Saratoga County,9641.71427815536,219607
47012,NY,Schenectady County,9641.71427815536,154727
47027,NY,Schoharie County,9641.71427815536,32749
47057,NY,Seneca County,6869.71427815536,35251
46982,NY,St. Lawrence County,6401.71427815536,111944
47072,NY,Steuben County,6185.71427815536,98990
47087,NY,Suffolk County,17369.7142781554,1493350
47102,NY,Sullivan County,8249.71427815536,77547
47117,NY,Tioga County,6473.71427815536,51125
47132,NY,Tompkins County,10085.7142781554,101564
47147,NY,Ulster County,10337.7142781554,182493
47162,NY,Warren County,7925.71427815536,65707
47177,NY,Washington County,7925.71427815536,63216
47192,NY,Wayne County,7913.71427815536,93772
47207,NY,Westchester County,16349.7142781554,949113
47222,NY,Wyoming County,5429.71427815536,42155
47237,NY,Yates County,6557.71427815536,25348
49547,OH,Adams County,5225.71427815536,28550
49562,OH,Allen County,5537.71427815536,106331
49577,OH,Ashland County,5153.71427815536,53139
49592,OH,Ashtabula County,5105.71427815536,101497
49607,OH,Athens County,6821.71427815536,64757
49622,OH,Auglaize County,5045.71427815536,45949
49637,OH,Belmont County,5417.71427815536,70400
49652,OH,Brown County,5429.71427815536,44846
49667,OH,Butler County,6833.71427815536,368130
49682,OH,Carroll County,5825.71427815536,28836
49697,OH,Champaign County,5309.71427815536,40097
49712,OH,Clark County,6149.71427815536,138333
49727,OH,Clermont County,6833.71427815536,197363
49742,OH,Clinton County,5393.71427815536,42040
49757,OH,Columbiana County,5453.71427815536,107841
49772,OH,Coshocton County,5117.71427815536,36901
49787,OH,Crawford County,5225.71427815536,43784
49802,OH,Cuyahoga County,6929.71427815536,1280122
49817,OH,Darke County,5069.71427815536,52959
49832,OH,Defiance County,5057.71427815536,39037
49847,OH,Delaware County,7925.71427815536,174214
49862,OH,Erie County,5585.71427815536,77079
49877,OH,Fairfield County,7925.71427815536,146156
49892,OH,Fayette County,5645.71427815536,29030
49907,OH,Franklin County,7925.71427815536,1163414
49922,OH,Fulton County,5513.71427815536,42698
49937,OH,Gallia County,5945.71427815536,30934
49952,OH,Geauga County,6929.71427815536,93389
49967,OH,Greene County,5981.71427815536,161573
49982,OH,Guernsey County,5513.71427815536,40087
49997,OH,Hamilton County,6833.71427815536,802374
50012,OH,Hancock County,5561.71427815536,74782
50027,OH,Hardin County,4985.71427815536,32058
50057,OH,Henry County,5945.71427815536,28215
50072,OH,Highland County,5585.71427815536,43589
50087,OH,Hocking County,5645.71427815536,29380
50102,OH,Holmes County,5261.71427815536,42366
50117,OH,Huron County,5093.71427815536,59626
50132,OH,Jackson County,5237.71427815536,33225
50147,OH,Jefferson County,5453.71427815536,69709
50162,OH,Knox County,5333.71427815536,60921
50177,OH,Lake County,6929.71427815536,230041
50192,OH,Lawrence County,6101.71427815536,62450
50207,OH,Licking County,7925.71427815536,166492
50222,OH,Logan County,5525.71427815536,45858
50237,OH,Lorain County,6929.71427815536,301356
50252,OH,Lucas County,5513.71427815536,441815
50267,OH,Madison County,7925.71427815536,43435
50282,OH,Mahoning County,5321.71427815536,238823
50297,OH,Marion County,5657.71427815536,66501
50312,OH,Medina County,6929.71427815536,172332
50342,OH,Mercer County,4985.71427815536,40814
50357,OH,Miami County,5981.71427815536,102506
50387,OH,Montgomery County,5981.71427815536,535153
50417,OH,Morrow County,7925.71427815536,34827
50432,OH,Muskingum County,5477.71427815536,86074
50462,OH,Ottawa County,5741.71427815536,41428
50492,OH,Perry County,5297.71427815536,36058
50507,OH,Pickaway County,7925.71427815536,55698
50522,OH,Pike County,5465.71427815536,28709
50537,OH,Portage County,6269.71427815536,161419
50552,OH,Preble County,5057.71427815536,42270
50567,OH,Putnam County,5393.71427815536,34499
50582,OH,Richland County,4985.71427815536,124475
50597,OH,Ross County,5561.71427815536,78064
50612,OH,Sandusky County,5321.71427815536,60944
50627,OH,Scioto County,5945.71427815536,79499
50642,OH,Seneca County,4985.71427815536,56745
50657,OH,Shelby County,5717.71427815536,49423
50672,OH,Stark County,5825.71427815536,375586
50687,OH,Summit County,6269.71427815536,541781
50702,OH,Trumbull County,5321.71427815536,210312
50717,OH,Tuscarawas County,5537.71427815536,92582
50732,OH,Union County,7229.71427815536,52300
50747,OH,Van Wert County,4985.71427815536,28744
50777,OH,Warren County,6833.71427815536,212693
50792,OH,Washington County,5117.71427815536,61778
50807,OH,Wayne County,5693.71427815536,114520
50822,OH,Williams County,5321.71427815536,37642
50837,OH,Wood County,5513.71427815536,125488
50957,OK,Bryan County,5225.71427815536,42416
50972,OK,Caddo County,5297.71427815536,29600
50987,OK,Canadian County,7061.71427815536,115541
51002,OK,Carter County,5969.71427815536,47557
51017,OK,Cherokee County,5753.71427815536,46987
51062,OK,Cleveland County,7061.71427815536,255755
51092,OK,Comanche County,5537.71427815536,124098
51137,OK,Creek County,6821.71427815536,69967
51152,OK,Custer County,5261.71427815536,27469
51167,OK,Delaware County,5141.71427815536,41487
51212,OK,Garfield County,5765.71427815536,60580
51227,OK,Garvin County,5813.71427815536,27576
51242,OK,Grady County,5141.71427815536,52431
51347,OK,Jackson County,5585.71427815536,26446
51392,OK,Kay County,5213.71427815536,46562
51452,OK,Le Flore County,5417.71427815536,50384
51467,OK,Lincoln County,5141.71427815536,34273
51482,OK,Logan County,7061.71427815536,41848
51587,OK,Mayes County,5165.71427815536,41259
51512,OK,McClain County,7061.71427815536,34506
51527,OK,McCurtain County,5141.71427815536,33151
51617,OK,Muskogee County,5165.71427815536,70990
51677,OK,Oklahoma County,7061.71427815536,718633
51692,OK,Okmulgee County,5477.71427815536,40069
51707,OK,Osage County,6821.71427815536,47472
51722,OK,Ottawa County,5465.71427815536,31848
51752,OK,Payne County,6497.71427815536,77350
51767,OK,Pittsburg County,5621.71427815536,45837
51782,OK,Pontotoc County,5369.71427815536,37492
51797,OK,Pottawatomie County,5609.71427815536,69442
51842,OK,Rogers County,6821.71427815536,86905
51857,OK,Seminole County,5141.71427815536,25482
51872,OK,Sequoyah County,5141.71427815536,42391
51887,OK,Stephens County,5369.71427815536,45048
51932,OK,Tulsa County,6821.71427815536,603403
51947,OK,Wagoner County,6821.71427815536,73085
51962,OK,Washington County,6221.71427815536,50976
52037,OR,Benton County,9425.71427815536,85579
52052,OR,Clackamas County,13601.7142781554,375992
52067,OR,Clatsop County,7193.71427815536,37039
52082,OR,Columbia County,13601.7142781554,49351
52097,OR,Coos County,7001.71427815536,63043
52142,OR,Deschutes County,9401.71427815536,157733
52157,OR,Douglas County,8069.71427815536,107667
52232,OR,Jackson County,7757.71427815536,203206
52262,OR,Josephine County,7457.71427815536,82713
52277,OR,Klamath County,5597.71427815536,66380
52307,OR,Lane County,8153.71427815536,351715
52322,OR,Lincoln County,7157.71427815536,46034
52337,OR,Linn County,7925.71427815536,116672
52352,OR,Malheur County,5321.71427815536,31313
52367,OR,Marion County,7625.71427815536,315335
52397,OR,Multnomah County,13601.7142781554,735334
52412,OR,Polk County,7625.71427815536,75403
52442,OR,Tillamook County,6113.71427815536,25250
52457,OR,Umatilla County,5717.71427815536,75889
52472,OR,Union County,5429.71427815536,25748
52502,OR,Wasco County,8561.71427815536,25213
52517,OR,Washington County,13601.7142781554,529710
52547,OR,Yamhill County,13601.7142781554,99193
52562,PA,Adams County,8045.71427815536,101407
52577,PA,Allegheny County,7493.71427815536,1223348
52592,PA,Armstrong County,5945.71427815536,68941
52607,PA,Beaver County,7493.71427815536,170539
52622,PA,Bedford County,5873.71427815536,49762
52637,PA,Berks County,8297.71427815536,411442
52652,PA,Blair County,6449.71427815536,127089
52667,PA,Bradford County,5489.71427815536,62622
52682,PA,Bucks County,10697.7142781554,625249
52697,PA,Butler County,7493.71427815536,183862
52712,PA,Cambria County,5669.71427815536,143679
52742,PA,Carbon County,9437.71427815536,65249
52757,PA,Centre County,9437.71427815536,153990
52772,PA,Chester County,10697.7142781554,498886
52787,PA,Clarion County,5873.71427815536,39988
52802,PA,Clearfield County,5597.71427815536,81642
52817,PA,Clinton County,5501.71427815536,39238
52832,PA,Columbia County,6749.71427815536,67295
52847,PA,Crawford County,5441.71427815536,88765
52862,PA,Cumberland County,8549.71427815536,235406
52877,PA,Dauphin County,8549.71427815536,268100
52892,PA,Delaware County,10697.7142781554,558979
52907,PA,Elk County,5189.71427815536,31946
52922,PA,Erie County,6365.71427815536,280566
52937,PA,Fayette County,7493.71427815536,136606
52967,PA,Franklin County,7193.71427815536,149618
52997,PA,Greene County,5849.71427815536,38686
53012,PA,Huntingdon County,5549.71427815536,45913
53027,PA,Indiana County,6437.71427815536,88880
53042,PA,Jefferson County,5357.71427815536,45200
53072,PA,Lackawanna County,6425.71427815536,214437
53087,PA,Lancaster County,9221.71427815536,519445
53102,PA,Lawrence County,5525.71427815536,91108
53117,PA,Lebanon County,7217.71427815536,133568
53132,PA,Lehigh County,9437.71427815536,349497
53147,PA,Luzerne County,6425.71427815536,320918
53162,PA,Lycoming County,7121.71427815536,116111
53177,PA,McKean County,5213.71427815536,43450
53192,PA,Mercer County,5369.71427815536,116638
53207,PA,Mifflin County,5837.71427815536,46682
53222,PA,Monroe County,9245.71427815536,169842
53237,PA,Montgomery County,10697.7142781554,799874
53267,PA,Northampton County,9437.71427815536,297735
53282,PA,Northumberland County,5333.71427815536,94528
53297,PA,Perry County,8549.71427815536,45969
53312,PA,Philadelphia County,10697.7142781554,1526006
53327,PA,Pike County,9737.71427815536,57369
53357,PA,Schuylkill County,5465.71427815536,148289
53372,PA,Snyder County,5465.71427815536,39702
53387,PA,Somerset County,5549.71427815536,77742
53417,PA,Susquehanna County,5657.71427815536,43356
53432,PA,Tioga County,6269.71427815536,41981
53447,PA,Union County,6113.71427815536,44947
53462,PA,Venango County,5513.71427815536,54984
53477,PA,Warren County,5765.71427815536,41815
53492,PA,Washington County,7493.71427815536,207820
53507,PA,Wayne County,6761.71427815536,52822
53522,PA,Westmoreland County,7493.71427815536,365169
53537,PA,Wyoming County,6425.71427815536,28276
53552,PA,York County,7457.71427815536,434972
0,RI,Kent County,9461.71427815536,166158
0,RI,Newport County,9461.71427815536,82888
0,RI,Providence County,9461.71427815536,626667
54152,SC,Abbeville County,5033.71427815536,25417
54167,SC,Aiken County,7157.71427815536,160099
54197,SC,Anderson County,6161.71427815536,187126
54242,SC,Beaufort County,10769.7142781554,162233
